                    x0           x1           x2           x3     
    4.51000n      0.         699.9998m      0.         699.9998m
    4.52000n      0.         699.9998m      0.         699.9998m
    4.53000n      0.         699.9998m      0.         699.9998m
    4.54000n      0.         699.9998m      0.         699.9998m
    4.55000n      0.         699.9998m      0.         699.9998m
    4.56000n      0.         699.9998m      0.         699.9998m
    4.57000n      0.         699.9998m      0.         699.9998m
    4.58000n      0.         699.9998m      0.         699.9998m
    4.59000n      0.         699.9998m      0.         699.9998m
    4.60000n      0.         699.9998m      0.         699.9998m
    4.61000n      0.         699.9998m      0.         699.9998m
    4.62000n      0.         699.9998m      0.         699.9998m
    4.63000n      0.         699.9998m      0.         699.9998m
    4.64000n      0.         699.9998m      0.         699.9998m
    4.65000n      0.         699.9998m      0.         699.9998m
    4.66000n      0.         699.9998m      0.         699.9998m
    4.67000n      0.         699.9998m      0.         699.9998m
    4.68000n      0.         699.9998m      0.         699.9998m
    4.69000n      0.         699.9998m      0.         699.9998m
    4.70000n      0.         699.9998m      0.         699.9998m
    4.71000n      0.         699.9998m      0.         699.9998m
    4.72000n      0.         699.9998m      0.         699.9998m
    4.73000n      0.         699.9998m      0.         699.9998m
    4.74000n      0.         699.9998m      0.         699.9998m
    4.75000n      0.         699.9998m      0.         699.9998m
    4.76000n      0.         699.9998m      0.         699.9998m
    4.77000n      0.         699.9998m      0.         699.9998m
    4.78000n      0.         699.9998m      0.         699.9998m
    4.79000n      0.         699.9998m      0.         699.9998m
    4.80000n      0.         699.9998m      0.         699.9998m
    4.81000n      0.         699.9998m      0.         699.9998m
    4.82000n      0.         699.9998m      0.         699.9998m
    4.83000n      0.         699.9998m      0.         699.9998m
    4.84000n      0.         699.9998m      0.         699.9998m
    4.85000n      0.         699.9998m      0.         699.9998m
    4.86000n      2.1952m    702.7114m      2.1952m    702.7114m
    4.87000n     40.4894m    678.7388m     40.4894m    678.7388m
    4.88000n    373.9693m    180.1767m    373.9693m    180.1767m
    4.89000n    699.3986m     43.8421m    699.3986m     43.8421m
    4.90000n    699.6103m     38.8268m    699.6103m     38.8268m
    4.91000n    699.6967m     34.6289m    699.6967m     34.6289m
    4.92000n    699.7603m     30.8608m    699.7603m     30.8608m
    4.93000n    699.7448m     27.4525m    699.7448m     27.4525m
    4.94000n    699.7293m     24.0442m    699.7293m     24.0442m
    4.95000n    699.7506m     21.5213m    699.7506m     21.5213m
    4.96000n    699.7906m     19.4499m    699.7906m     19.4499m
    4.97000n    699.8307m     17.3786m    699.8307m     17.3786m
    4.98000n    699.8707m     15.3072m    699.8707m     15.3072m
    4.99000n    699.9107m     13.2358m    699.9107m     13.2358m
    5.00000n    699.9507m     11.1645m    699.9507m     11.1645m
    5.01000n    699.9540m     10.1413m    699.9540m     10.1413m
    5.02000n    699.9506m      9.3071m    699.9506m      9.3071m
    5.03000n    699.9472m      8.4730m    699.9472m      8.4730m
    5.04000n    699.9437m      7.6389m    699.9437m      7.6389m
    5.05000n    699.9403m      6.8048m    699.9403m      6.8048m
    5.06000n    699.9369m      5.9707m    699.9369m      5.9707m
    5.07000n    699.9335m      5.1365m    699.9335m      5.1365m
    5.08000n    699.9301m      4.3024m    699.9301m      4.3024m
    5.09000n    699.9267m      3.4683m    699.9267m      3.4683m
    5.10000n    699.9233m      2.6342m    699.9233m      2.6342m
    5.11000n    699.9313m      1.9975m    699.9313m      1.9975m
    5.12000n    699.9657m      1.8139m    699.9657m      1.8139m
    5.13000n    700.0000m      1.6304m    700.0000m      1.6304m
