            bl           blb          bit          we
3.16000n    665.5959m    158.9624m      0.           0.
3.17000n    665.4835m    158.8428m      0.           0.
3.18000n    665.4835m    158.8428m      0.           0.
3.19000n    665.4834m    158.8428m      0.           0.
3.20000n    665.4834m    158.8428m      0.           0.
3.21000n    665.4834m    158.8428m      0.           0.
3.22000n    665.4834m    158.8428m      0.           0.
3.23000n    665.4834m    158.8428m      0.           0.
3.24000n    665.4833m    158.8428m      0.           0.
3.25000n    665.4833m    158.8428m      0.           0.
3.26000n    665.4833m    158.8428m      0.           0.
3.27000n    665.4833m    158.8428m      0.           0.
3.28000n    665.4833m    158.8429m      0.           0.
3.29000n    665.4833m    158.8429m      0.           0.
3.30000n    665.4832m    158.8429m      0.           0.
3.31000n    665.4832m    158.8429m      0.           0.
3.32000n    665.4832m    158.8429m      0.           0.
3.33000n    665.4832m    158.8429m      0.           0.
3.34000n    665.4832m    158.8429m      0.           0.
3.35000n    665.4832m    158.8429m      0.           0.
3.36000n    665.4831m    158.8429m      0.           0.
3.37000n    665.4831m    158.8429m      0.           0.
3.38000n    665.4831m    158.8429m      0.           0.
3.39000n    665.4831m    158.8429m      0.           0.
3.40000n    665.4831m    158.8430m      0.           0.
3.41000n    665.4831m    158.8430m      0.           0.
3.42000n    665.4830m    158.8430m      0.           0.
3.43000n    665.4830m    158.8430m      0.           0.
3.44000n    665.4830m    158.8430m      0.           0.
3.45000n    665.4830m    158.8430m      0.           0.
3.46000n    665.4830m    158.8430m      0.           0.
3.47000n    665.4830m    158.8430m      0.           0.
3.48000n    665.4829m    158.8430m      0.           0.
3.49000n    665.4829m    158.8430m      0.           0.
3.50000n    665.4829m    158.8430m      0.           0.
3.51000n    665.4829m    158.8430m      0.           0.
3.52000n    665.4829m    158.8431m      0.           0.
3.53000n    665.4829m    158.8431m      0.           0.
3.54000n    665.4828m    158.8431m      0.           0.
3.55000n    665.4828m    158.8431m      0.           0.
3.56000n    665.4828m    158.8431m      0.           0.
3.57000n    665.4828m    158.8431m      0.           0.
3.58000n    665.4828m    158.8431m      0.           0.
3.59000n    665.4828m    158.8431m      0.           0.
3.60000n    665.4827m    158.8431m      0.           0.
3.61000n    665.4827m    158.8431m      0.           0.
3.62000n    665.4827m    158.8431m      0.           0.
3.63000n    665.4827m    158.8431m      0.           0.
3.64000n    665.4827m    158.8432m      0.           0.
3.65000n    665.4826m    158.8432m      0.           0.
3.66000n    665.4826m    158.8432m      0.           0.
3.67000n    665.4826m    158.8432m      0.           0.
3.68000n    665.4826m    158.8432m      0.           0.
3.69000n    665.4826m    158.8432m      0.           0.
3.70000n    665.4826m    158.8432m      0.           0.
3.71000n    665.4825m    158.8432m      0.           0.
3.72000n    665.2305m    158.6952m      0.           0.
3.73000n    662.3209m    164.9476m      0.           0.
3.74000n    653.7457m    187.4713m      0.           0.
3.75000n    645.3411m    213.3539m      0.           0.
3.76000n    637.6301m    238.6616m      0.           0.
3.77000n    631.2152m    262.6039m      0.           0.
3.78000n    627.0828m    284.1417m      0.           0.
3.79000n    622.9504m    305.6795m      0.           0.
3.80000n    618.8179m    327.2172m      0.           0.
3.81000n    614.6855m    348.7550m      0.           0.
3.82000n    610.5531m    370.2928m      0.           0.
3.83000n    606.4207m    391.8306m      0.           0.
3.84000n    603.8693m    410.9453m      0.           0.
3.85000n    604.2027m    425.6390m      0.           0.
3.86000n    604.5360m    440.3326m      0.           0.
3.87000n    604.8694m    455.0263m      0.           0.
3.88000n    605.2027m    469.7200m      0.           0.
3.89000n    605.5361m    484.4137m      0.           0.
3.90000n    605.8694m    499.1074m      0.           0.
3.91000n    606.2028m    513.8011m      0.           0.
3.92000n    606.5362m    528.4948m      0.           0.
3.93000n    606.8695m    543.1885m      0.           0.
3.94000n    608.9515m    553.4676m      0.           0.
3.95000n    611.7194m    562.0152m      0.           0.
3.96000n    614.4873m    570.5629m      0.           0.
3.97000n    617.2553m    579.1105m      0.           0.
3.98000n    620.0232m    587.6581m      0.           0.
3.99000n    622.7911m    596.2058m      0.           0.
4.00000n    625.5590m    604.7534m      0.           0.
4.01000n    628.8039m    611.1360m      0.         350.0000m
4.02000n    623.9166m    617.3391m      0.         700.0000m
4.03000n    614.1187m    623.9833m      0.         700.0000m
4.04000n    605.9205m    629.2699m      0.         700.0000m
4.05000n    598.9943m    633.4266m      0.         700.0000m
4.06000n    593.4034m    636.4094m      0.         700.0000m
4.07000n    587.8125m    639.3922m      0.         700.0000m
4.08000n    582.2215m    642.3751m      0.         700.0000m
4.09000n    578.4076m    643.9546m      0.         700.0000m
4.10000n    575.5743m    644.7596m      0.         700.0000m
4.11000n    572.7410m    645.5646m      0.         700.0000m
4.12000n    569.9077m    646.3697m      0.         700.0000m
4.13000n    567.0744m    647.1747m      0.         700.0000m
4.14000n    564.2411m    647.9797m      0.         700.0000m
4.15000n    561.4078m    648.7848m      0.         700.0000m
4.16000n    558.7749m    649.4745m      0.         700.0000m
4.17000n    557.6707m    649.2849m      0.         700.0000m
4.18000n    556.5665m    649.0953m      0.         700.0000m
4.19000n    555.4622m    648.9058m      0.         700.0000m
4.20000n    554.3580m    648.7162m      0.         700.0000m
4.21000n    553.2537m    648.5266m      0.         700.0000m
4.22000n    552.1495m    648.3370m      0.         700.0000m
4.23000n    551.0453m    648.1474m      0.         700.0000m
4.24000n    549.9410m    647.9578m      0.         700.0000m
4.25000n    548.8368m    647.7683m      0.         700.0000m
4.26000n    548.1384m    647.5212m      0.         700.0000m
4.27000n    547.5649m    647.2564m      0.         700.0000m
4.28000n    546.9915m    646.9917m      0.         700.0000m
4.29000n    545.4953m    647.4988m      0.         700.0000m
4.30000n    536.5235m    649.4727m      0.         700.0000m
4.31000n    525.0401m    651.2418m      0.         700.0000m
4.32000n    512.2628m    652.6753m      0.         700.0000m
4.33000n    499.9441m    654.0284m      0.         700.0000m
4.34000n    487.6253m    655.3815m      0.         700.0000m
4.35000n    475.3065m    656.7346m      0.         700.0000m
4.36000n    464.1435m    657.8843m      0.         700.0000m
4.37000n    453.0883m    659.0150m      0.         700.0000m
4.38000n    442.0331m    660.1456m      0.         700.0000m
4.39000n    430.9779m    661.2763m      0.         700.0000m
4.40000n    419.9227m    662.4070m      0.         700.0000m
4.41000n    408.8675m    663.5376m      0.         700.0000m
4.42000n    397.8123m    664.6683m      0.         700.0000m
4.43000n    386.7571m    665.7990m      0.         700.0000m
4.44000n    375.7019m    666.9296m      0.         700.0000m
4.45000n    364.7332m    668.0465m      0.         700.0000m
4.46000n    355.8846m    668.8237m      0.         700.0000m
4.47000n    347.0359m    669.6009m      0.         700.0000m
4.48000n    338.1873m    670.3781m      0.         700.0000m
4.49000n    329.3386m    671.1553m      0.         700.0000m
4.50000n    320.4900m    671.9324m      0.         700.0000m
4.51000n    311.6414m    672.7096m      0.         700.0000m
4.52000n    302.7927m    673.4868m      0.         700.0000m
4.53000n    293.9441m    674.2640m      0.         700.0000m
4.54000n    285.0954m    675.0412m      0.         700.0000m
4.55000n    276.2468m    675.8184m      0.         700.0000m
4.56000n    267.3982m    676.5956m      0.         700.0000m
4.57000n    258.5495m    677.3728m      0.         700.0000m
4.58000n    249.7009m    678.1500m      0.         700.0000m
4.59000n    240.8522m    678.9272m      0.         700.0000m
4.60000n    232.0036m    679.7044m      0.         700.0000m
4.61000n    223.1550m    680.4816m      0.         700.0000m
4.62000n    215.6691m    681.1008m      0.         700.0000m
4.63000n    209.3471m    681.5851m      0.         700.0000m
4.64000n    203.0250m    682.0694m      0.         700.0000m
4.65000n    196.7030m    682.5537m      0.         700.0000m
4.66000n    190.3809m    683.0380m      0.         700.0000m
4.67000n    184.0589m    683.5223m      0.         700.0000m
4.68000n    177.7368m    684.0066m      0.         700.0000m
4.69000n    171.4147m    684.4909m      0.         700.0000m
4.70000n    165.0927m    684.9752m      0.         700.0000m
4.71000n    158.7706m    685.4595m      0.         700.0000m
4.72000n    152.4486m    685.9438m      0.         700.0000m
4.73000n    146.1265m    686.4281m      0.         700.0000m
4.74000n    139.8044m    686.9124m      0.         700.0000m
4.75000n    133.4824m    687.3967m      0.         700.0000m
4.76000n    128.4424m    687.7834m      0.         700.0000m
4.77000n    124.1459m    688.1135m      0.         700.0000m
4.78000n    119.8495m    688.4437m      0.         700.0000m
4.79000n    115.5530m    688.7738m      0.         700.0000m
4.80000n    111.2566m    689.1040m      0.         700.0000m
4.81000n    106.9601m    689.4341m      0.         700.0000m
4.82000n    102.6636m    689.7643m      0.         700.0000m
4.83000n     98.3672m    690.0944m      0.         700.0000m
4.84000n     94.0707m    690.4246m      0.         700.0000m
4.85000n     89.7743m    690.7547m      0.         700.0000m
4.86000n     85.8233m    691.1803m      0.         700.0000m
4.87000n     84.7216m    688.7380m      0.         700.0000m
4.88000n     96.7263m    677.5363m      0.         700.0000m
4.89000n     89.3850m    677.9925m      0.         700.0000m
4.90000n     79.2227m    678.6540m      0.         700.0000m
4.91000n     70.3127m    679.2925m      0.         700.0000m
4.92000n     62.4149m    679.9104m      0.         700.0000m
4.93000n     55.4974m    680.5079m      0.         700.0000m
4.94000n     48.5798m    681.1054m      0.         700.0000m
4.95000n     43.4306m    681.6556m      0.         700.0000m
4.96000n     39.1831m    682.1816m      0.         700.0000m
4.97000n     34.9356m    682.7076m      0.         700.0000m
4.98000n     30.6881m    683.2337m      0.         700.0000m
4.99000n     26.4407m    683.7597m      0.         700.0000m
5.00000n     22.1932m    684.2857m      0.         700.0000m
5.01000n     20.1519m    684.7164m      0.         700.0000m
5.02000n     18.5086m    685.1299m      0.         700.0000m
5.03000n     16.8654m    685.5434m      0.         700.0000m
5.04000n     15.2221m    685.9569m      0.         700.0000m
5.05000n     13.5788m    686.3704m      0.         700.0000m
5.06000n     11.9356m    686.7839m      0.         700.0000m
5.07000n     10.2923m    687.1974m      0.         700.0000m
5.08000n      8.6490m    687.6110m      0.         700.0000m
5.09000n      7.0058m    688.0245m      0.         700.0000m
5.10000n      5.3625m    688.4380m      0.         700.0000m
5.11000n      4.0848m    688.8259m      0.         700.0000m
5.12000n      3.6459m    689.1551m      0.         700.0000m
5.13000n      3.2071m    689.4842m      0.         700.0000m
5.14000n      2.7683m    689.8134m      0.         700.0000m
5.15000n      1.3424m    689.8498m      0.         700.0000m
